date;client_id;ab_group;is_view_ads;cnt_view_ads;is_adds_ads;cnt_adds_ads;sum_adds_ads;is_orders_ads;cnt_orders_ads;sum_orders_ads;
2024-07-27;19303;control;1;1;0;0;0;0;0;0;
2024-07-29;10510425;control;1;2;0;0;0;0;0;0;
2024-07-28;691220983;control;1;1;0;0;0;0;0;0;
2024-07-28;220828;control;1;1;0;0;0;0;0;0;
2024-07-28;2460245;control;1;3;0;0;0;0;0;0;
2024-07-29;90489690;control;1;5;1;6;1024;1;3;820;
2024-07-24;66405469;control;1;1;0;0;0;0;0;0;
2024-07-24;541280411;control;1;1;0;0;0;0;0;0;
2024-07-24;540011310;control;1;1;0;0;0;0;0;0;
2024-07-27;88335340;control;1;1;1;4;276;1;2;249;
2024-07-28;42214;control;1;2;0;0;0;0;0;0;
2024-07-28;11652295;control;1;1;0;0;0;0;0;0;
2024-07-30;504934;control;1;2;0;0;0;0;0;0;
2024-07-26;66449501;control;1;1;0;0;0;0;0;0;
2024-07-28;6168852;control;1;1;0;0;0;0;0;0;
2024-07-27;953900203;control;1;1;1;3;382;1;1;382;
2024-07-26;84938090;control;1;1;0;0;0;0;0;0;
2024-07-29;65102354;control;1;1;1;4;616;1;2;555;
2024-07-25;68150866;control;1;2;0;0;0;0;0;0;
2024-07-30;6650206;control;1;2;0;0;0;0;0;0;
2024-07-24;66568604;control;1;2;1;1;259;1;1;259;
2024-07-30;65491246;control;1;1;0;0;0;0;0;0;
2024-07-25;12036228;control;1;2;0;0;0;0;0;0;
2024-07-30;445123;control;1;2;0;0;0;0;0;0;
2024-07-28;549516966;control;1;1;1;1;148;1;0;0;
2024-07-30;6890616;control;1;3;1;2;198;1;1;198;
2024-07-26;81130384;control;1;1;1;2;134;1;1;121;
2024-07-28;884834034;control;1;2;1;2;188;1;1;170;
2024-07-24;963414044;control;1;1;0;0;0;0;0;0;
2024-07-25;82502083;control;1;1;0;0;0;0;0;0;
2024-07-28;961803544;control;1;1;0;0;0;0;0;0;
2024-07-28;402843;control;1;1;0;0;0;0;0;0;
2024-07-25;1114401;control;1;1;0;0;0;0;0;0;
2024-07-28;6660639;control;1;4;0;0;0;0;0;0;
2024-07-24;669306138;control;1;1;0;0;0;0;0;0;
2024-07-26;541094001;control;1;1;0;0;0;0;0;0;
2024-07-24;125326;control;1;1;0;0;0;0;0;0;
2024-07-30;5424665;control;1;2;1;2;378;1;1;303;
2024-07-28;29043023;control;1;1;0;0;0;0;0;0;
2024-07-30;596980;control;1;2;0;0;0;0;0;0;
2024-07-26;12126926;control;1;1;0;0;0;0;0;0;
2024-07-29;908452696;control;1;2;1;1;179;1;1;179;
2024-07-29;90489863;control;1;1;0;0;0;0;0;0;
2024-07-25;351158;control;1;2;0;0;0;0;0;0;
2024-07-27;492186;control;1;4;0;0;0;0;0;0;
2024-07-29;1695939;control;1;3;0;0;0;0;0;0;
2024-07-30;123869;control;1;2;0;0;0;0;0;0;
2024-07-30;902241;control;1;2;0;0;0;0;0;0;
2024-07-24;1142820;control;1;2;0;0;0;0;0;0;
2024-07-26;651335;control;1;1;0;0;0;0;0;0;
2024-07-30;831891491;control;1;1;1;2;168;1;1;152;
2024-07-25;914858808;control;1;1;1;1;159;1;0;0;
