client_id;dt;total_add_count;total_click_count;total_view_count
677104804;21.06.2024;25;2;0
948717678;21.06.2024;23;10;0
15603640;21.06.2024;22;11;6
278880;21.06.2024;22;0;0
51906327;21.06.2024;21;13;10
67039486;21.06.2024;20;0;5
51965507;21.06.2024;20;3;4
51075172;21.06.2024;20;3;1
33451722;19.06.2024;19;0;0
946275186;21.06.2024;18;4;2
867650654;21.06.2024;18;1;1
12155774;21.06.2024;18;2;0
7694325;21.06.2024;18;3;1
1237591;19.06.2024;18;1;1
876957723;21.06.2024;17;1;0
872261213;21.06.2024;17;4;1
3238649;20.06.2024;17;8;1
949928181;21.06.2024;16;7;7
776923669;21.06.2024;16;4;4
689086617;21.06.2024;16;2;3
518389106;21.06.2024;16;3;8
72000523;21.06.2024;16;4;1
70058308;21.06.2024;16;1;1
11733430;21.06.2024;16;0;1
11043569;21.06.2024;16;2;2
6564431;19.06.2024;16;0;4
676690108;21.06.2024;15;0;4
66877180;21.06.2024;15;2;5
17487448;21.06.2024;15;1;1
15428021;21.06.2024;15;3;6
10431977;21.06.2024;15;9;4
8902735;21.06.2024;15;4;4
537215;21.06.2024;15;4;1
465425;21.06.2024;15;2;1
821387381;19.06.2024;15;1;10
679544947;19.06.2024;15;3;2
71431908;19.06.2024;15;2;8
7936093;19.06.2024;15;0;0
4773184;19.06.2024;15;2;0
2404800;19.06.2024;15;4;2
911079860;21.06.2024;14;1;0
849384046;21.06.2024;14;4;2
721176889;21.06.2024;14;5;6
677621611;21.06.2024;14;2;2
676801329;21.06.2024;14;1;4
542640379;21.06.2024;14;2;0
73173712;21.06.2024;14;0;0
72485470;21.06.2024;14;4;3
70345689;21.06.2024;14;11;6
10254153;21.06.2024;14;6;6
8641641;21.06.2024;14;1;0
5002066;21.06.2024;14;3;1
1935973;21.06.2024;14;2;0
13891961;20.06.2024;14;8;1
710165850;19.06.2024;14;0;5
690344176;19.06.2024;14;1;1
679427286;19.06.2024;14;1;2
676336014;19.06.2024;14;1;4
622013138;19.06.2024;14;1;0
4631533;19.06.2024;14;1;0
311337;19.06.2024;14;0;3
233370;19.06.2024;14;1;2
884429899;21.06.2024;13;0;0
872454548;21.06.2024;13;4;5
866600904;21.06.2024;13;4;0
817833016;21.06.2024;13;2;4
72133874;21.06.2024;13;5;4
31399023;21.06.2024;13;3;1
12393703;21.06.2024;13;0;0
12268904;21.06.2024;13;1;0
8002658;21.06.2024;13;3;7
7693232;21.06.2024;13;7;0
6528440;21.06.2024;13;8;3
2791536;21.06.2024;13;3;0
848968;21.06.2024;13;1;7
432425;21.06.2024;13;15;0
671385218;20.06.2024;13;1;3
671292631;20.06.2024;13;1;2
843440744;19.06.2024;13;2;3
815991595;19.06.2024;13;1;4
699193633;19.06.2024;13;1;6
681606459;19.06.2024;13;0;1
672174120;19.06.2024;13;2;8
17829320;19.06.2024;13;0;4
8360525;19.06.2024;13;1;1
3325003;19.06.2024;13;4;9
957495268;21.06.2024;12;0;0
857481469;21.06.2024;12;0;0
731212416;21.06.2024;12;2;7
718938124;21.06.2024;12;0;0
684553950;21.06.2024;12;3;9
679728029;21.06.2024;12;1;2
677142288;21.06.2024;12;12;3
671530729;21.06.2024;12;1;0
549833389;21.06.2024;12;2;2
543667287;21.06.2024;12;4;2
541294625;21.06.2024;12;1;2
72050690;21.06.2024;12;1;0
69893965;21.06.2024;12;1;5
45558744;21.06.2024;12;8;0
28898827;21.06.2024;12;1;0
13884683;21.06.2024;12;4;3
11063351;21.06.2024;12;2;2
10716404;21.06.2024;12;2;5
10621423;21.06.2024;12;0;2
7346201;21.06.2024;12;1;0
7085949;21.06.2024;12;3;4
4124898;21.06.2024;12;0;5
3204153;21.06.2024;12;2;0
3086871;21.06.2024;12;0;2
3039870;21.06.2024;12;2;0
1137206;21.06.2024;12;3;5
346704;21.06.2024;12;5;0
314065;21.06.2024;12;3;3
733265904;20.06.2024;12;1;3
67197922;20.06.2024;12;1;3
7251390;20.06.2024;12;6;8
98665;20.06.2024;12;4;3
927323556;19.06.2024;12;2;12
913674895;19.06.2024;12;5;1
676194547;19.06.2024;12;3;2
548164712;19.06.2024;12;0;2
543208405;19.06.2024;12;2;7
132253460;19.06.2024;12;1;3
7660848;19.06.2024;12;0;5
231321;19.06.2024;12;1;0
957648427;21.06.2024;11;6;1
863691291;21.06.2024;11;1;0
858317758;21.06.2024;11;1;1
810967067;21.06.2024;11;2;3
719783391;21.06.2024;11;2;0
688206280;21.06.2024;11;3;1
683845851;21.06.2024;11;2;2
682246644;21.06.2024;11;2;0
679029136;21.06.2024;11;0;2
677616019;21.06.2024;11;1;0
676433311;21.06.2024;11;4;3
671609122;21.06.2024;11;1;0
668533905;21.06.2024;11;9;4
556620336;21.06.2024;11;2;0
545577270;21.06.2024;11;3;2
534360509;21.06.2024;11;5;0
77643777;21.06.2024;11;1;2
69347746;21.06.2024;11;4;2
67688357;21.06.2024;11;4;5
67322613;21.06.2024;11;3;4
16977853;21.06.2024;11;1;0
14291274;21.06.2024;11;1;0
14229549;21.06.2024;11;2;4
8794617;21.06.2024;11;3;0
7320616;21.06.2024;11;2;2
6739801;21.06.2024;11;1;7
6671285;21.06.2024;11;2;2
6641532;21.06.2024;11;1;3
5961015;21.06.2024;11;4;2
5439105;21.06.2024;11;1;1
4875865;21.06.2024;11;13;0
4724104;21.06.2024;11;3;3
4678897;21.06.2024;11;8;0
4427518;21.06.2024;11;1;0
3112829;21.06.2024;11;2;0
516260;21.06.2024;11;3;2
323256;21.06.2024;11;6;2
319695;21.06.2024;11;1;0
849512133;20.06.2024;11;1;3
677805433;20.06.2024;11;10;6
671435755;20.06.2024;11;4;7
668475751;20.06.2024;11;0;4
540416572;20.06.2024;11;4;3
72727822;20.06.2024;11;1;5
69332365;20.06.2024;11;5;2
10736888;20.06.2024;11;4;1
644778;20.06.2024;11;2;2
886123010;19.06.2024;11;0;1
883958310;19.06.2024;11;3;0
847916984;19.06.2024;11;2;7
682656848;19.06.2024;11;1;1
682431710;19.06.2024;11;1;4
668208358;19.06.2024;11;1;5
546016156;19.06.2024;11;0;4
545014480;19.06.2024;11;4;4
540490415;19.06.2024;11;1;0
540251581;19.06.2024;11;0;6
524386202;19.06.2024;11;2;8
67384567;19.06.2024;11;0;0
39938234;19.06.2024;11;2;3
26844926;19.06.2024;11;2;3
20493317;19.06.2024;11;1;7
8243375;19.06.2024;11;1;1
2453372;19.06.2024;11;12;7
229156;19.06.2024;11;1;1
956446972;21.06.2024;10;3;4
935040514;21.06.2024;10;0;0
925918873;21.06.2024;10;1;0
919260091;21.06.2024;10;0;4
918747238;21.06.2024;10;1;2
885315975;21.06.2024;10;1;2
868414396;21.06.2024;10;3;0
833673538;21.06.2024;10;9;4
806212597;21.06.2024;10;1;2
703561421;21.06.2024;10;2;4
684202307;21.06.2024;10;1;3
680103178;21.06.2024;10;6;3
679100458;21.06.2024;10;3;3
678885436;21.06.2024;10;3;6
672816587;21.06.2024;10;0;0
669528978;21.06.2024;10;6;0
657926226;21.06.2024;10;2;0
545088255;21.06.2024;10;4;5
544868964;21.06.2024;10;2;0
530461291;21.06.2024;10;0;0
78622952;21.06.2024;10;9;3
72850823;21.06.2024;10;46;11
72842141;21.06.2024;10;1;3
72335932;21.06.2024;10;0;0
71219152;21.06.2024;10;3;8
71054108;21.06.2024;10;10;0
70205868;21.06.2024;10;1;1
70027881;21.06.2024;10;0;0
68363411;21.06.2024;10;4;0
67543486;21.06.2024;10;2;0
66518455;21.06.2024;10;2;0
66204862;21.06.2024;10;6;11
58033173;21.06.2024;10;4;4
51079054;21.06.2024;10;4;3
43636547;21.06.2024;10;0;0
33162660;21.06.2024;10;1;0
14331256;21.06.2024;10;4;10
12404274;21.06.2024;10;3;5
8684234;21.06.2024;10;1;0
8209952;21.06.2024;10;2;0
7963820;21.06.2024;10;0;1
7738248;21.06.2024;10;1;0
6414980;21.06.2024;10;0;0
6250049;21.06.2024;10;3;1
5910617;21.06.2024;10;2;0
4785709;21.06.2024;10;1;0
4449604;21.06.2024;10;4;0
3901695;21.06.2024;10;5;6
3737784;21.06.2024;10;0;0
3398165;21.06.2024;10;4;0
2221391;21.06.2024;10;2;3
1246378;21.06.2024;10;2;3
927806;21.06.2024;10;3;0
783980;21.06.2024;10;3;4
663874;21.06.2024;10;5;3
642219;21.06.2024;10;3;0
568172;21.06.2024;10;4;0
926766374;20.06.2024;10;4;2
686695244;20.06.2024;10;5;2
677839643;20.06.2024;10;0;6
670099039;20.06.2024;10;0;9
75355693;20.06.2024;10;2;2
71794893;20.06.2024;10;2;12
66259542;20.06.2024;10;4;9
30208068;20.06.2024;10;0;5
6355060;20.06.2024;10;17;4
6353988;20.06.2024;10;2;3
5382879;20.06.2024;10;2;2
4372718;20.06.2024;10;1;7
1930871;20.06.2024;10;1;3
576010;20.06.2024;10;3;5
949296676;19.06.2024;10;0;5
932722152;19.06.2024;10;1;3
679951994;19.06.2024;10;1;2
677794225;19.06.2024;10;1;2
553169079;19.06.2024;10;1;2
542559877;19.06.2024;10;1;1
66827509;19.06.2024;10;1;5
10859917;19.06.2024;10;3;1
9077740;19.06.2024;10;0;0
8071139;19.06.2024;10;2;1
7652556;19.06.2024;10;1;2
7514794;19.06.2024;10;4;1
6586399;19.06.2024;10;1;2
5685173;19.06.2024;10;4;4
4560909;19.06.2024;10;0;3
4553553;19.06.2024;10;2;1
3299922;19.06.2024;10;1;2
1809231;19.06.2024;10;2;4
861591;19.06.2024;10;3;2
610284;19.06.2024;10;2;0
390944;19.06.2024;10;2;4
349761;19.06.2024;10;1;2
243085;19.06.2024;10;6;3
181075;19.06.2024;10;1;1
27894;19.06.2024;10;2;1
944195248;21.06.2024;9;1;1
942630457;21.06.2024;9;6;1
940728783;21.06.2024;9;2;1
908524032;21.06.2024;9;1;7
900966286;21.06.2024;9;2;0
843066359;21.06.2024;9;1;1
818888453;21.06.2024;9;2;0
816614020;21.06.2024;9;2;0
813455861;21.06.2024;9;8;4
700396402;21.06.2024;9;10;6
691255892;21.06.2024;9;0;0
690369282;21.06.2024;9;3;4
689949116;21.06.2024;9;3;0
682043972;21.06.2024;9;3;0
680893850;21.06.2024;9;1;3
679459157;21.06.2024;9;1;2
678744052;21.06.2024;9;11;5
676480865;21.06.2024;9;2;0
676250672;21.06.2024;9;1;2
675487708;21.06.2024;9;2;2
675173073;21.06.2024;9;2;0
673929162;21.06.2024;9;1;0
